time,open,high,low,close,volume,SMA_14,SMA_50
1750174200,197.2,197.93,196.94,197.06,1308694,,
1750174500,197.08,197.38,196.76,197.06,651538,,
1750174800,197.05,197.27,196.56,196.56,538002,,
1750175100,196.56,196.62,196.25,196.48,546172,,
1750175400,196.48,196.82,196.27,196.81,386072,,
1750175700,196.8,197.03,196.59,196.82,443624,,
1750176000,196.82,196.96,196.69,196.94,313918,,
1750176300,196.96,197.31,196.94,197.24,364122,,
1750176600,197.25,197.69,197.11,197.63,419264,,
1750176900,197.62,197.79,197.6,197.75,217471,,
1750177200,197.74,197.91,197.44,197.52,283242,,
1750177500,197.52,197.69,197.48,197.58,178192,,
1750177800,197.58,197.7,197.48,197.52,229229,,
1750178100,197.52,197.58,197.32,197.5,334797,197.18,
1750178400,197.51,197.58,197.37,197.5,169126,197.21,
1750178700,197.51,197.65,197.42,197.59,222083,197.25,
1750179000,197.59,197.77,197.57,197.67,197882,197.32,
1750179300,197.68,197.68,197.35,197.38,230574,197.39,
1750179600,197.38,197.69,197.34,197.6,203749,197.45,
1750179900,197.59,197.77,197.52,197.71,161202,197.51,
1750180200,197.71,197.79,197.63,197.69,181076,197.56,
1750180500,197.7,197.71,197.35,197.71,216363,197.6,
1750180800,197.7,197.79,197.6,197.63,186674,197.6,
1750181100,197.63,197.66,197.44,197.58,133239,197.58,
1750181400,197.59,197.74,197.51,197.63,190070,197.59,
1750181700,197.63,198.23,197.62,198.2,443210,197.64,
1750182000,198.2,198.38,198.11,198.33,277811,197.69,
1750182300,198.34,198.39,197.9,197.92,249675,197.72,
1750182600,197.94,198.18,197.89,198.08,194591,197.77,
1750182900,198.08,198.08,197.78,197.78,180194,197.78,
1750183200,197.78,198.09,197.78,198.02,135826,197.8,
1750183500,198.02,198.11,197.63,197.97,249241,197.85,
1750183800,197.96,198.13,197.94,198.11,150116,197.88,
1750184100,198.11,198.15,197.76,197.81,269342,197.89,
1750184400,197.81,197.86,197.52,197.61,181940,197.88,
1750184700,197.62,197.7,197.46,197.61,155705,197.88,
1750185000,197.61,197.73,197.52,197.73,103035,197.88,
1750185300,197.73,197.85,197.61,197.62,113865,197.89,
1750185600,197.62,197.62,197.21,197.31,182978,197.86,
1750185900,197.28,197.41,197.0,197.15,251599,197.79,
1750186200,197.14,197.19,196.79,196.94,301914,197.69,
1750186500,196.94,196.94,196.68,196.78,275679,197.61,
1750186800,196.77,196.78,196.47,196.73,302366,197.51,
1750187100,196.73,196.73,196.46,196.68,222291,197.43,
1750187400,196.67,196.86,196.62,196.69,242279,197.34,
1750187700,196.69,196.83,196.55,196.69,231833,197.25,
1750188000,196.69,196.75,196.5,196.69,136813,197.15,
1750188300,196.68,196.71,196.51,196.52,136443,197.05,
1750188600,196.51,196.75,196.33,196.64,271524,196.98,
1750188900,196.64,196.82,196.43,196.51,176185,196.91,197.37
1750189200,196.5,196.58,196.27,196.31,205539,196.8,197.35
1750189500,196.31,196.43,195.97,196.12,437670,196.7,197.33
1750189800,196.11,196.23,195.92,196.12,225032,196.61,197.32
1750190100,196.12,196.31,196.07,196.12,142386,196.54,197.32
1750190400,196.11,196.12,195.58,195.68,374905,196.45,197.29
1750190700,195.69,195.97,195.67,195.96,212871,196.39,197.28
1750191000,195.95,196.04,195.73,195.74,185030,196.32,197.25
1750191300,195.73,195.83,195.64,195.7,182991,196.25,197.22
1750191600,195.7,195.71,195.44,195.44,224310,196.16,197.18
1750191900,195.44,195.51,195.21,195.46,281830,196.07,197.13
1750192200,195.48,195.82,195.42,195.82,196571,196.01,197.1
1750192500,195.8,195.86,195.52,195.66,207519,195.95,197.06
1750192800,195.66,195.7,195.43,195.69,183826,195.88,197.02
1750193100,195.69,195.76,195.53,195.64,166288,195.82,196.99
1750193400,195.65,195.75,195.55,195.74,106704,195.78,196.95
1750193700,195.75,195.87,195.75,195.84,223962,195.76,196.92
1750194000,195.85,195.89,195.56,195.6,140565,195.72,196.87
1750194300,195.6,195.78,195.49,195.77,201469,195.7,196.84
1750194600,195.77,195.92,195.67,195.84,183197,195.71,196.81
1750194900,195.84,195.94,195.64,195.66,184906,195.69,196.77
1750195200,195.66,195.92,195.62,195.86,221655,195.69,196.73
1750195500,195.86,195.93,195.74,195.83,202299,195.7,196.69
1750195800,195.84,195.89,195.52,195.59,358791,195.71,196.65
1750196100,195.58,195.75,195.51,195.62,325149,195.73,196.61
1750196400,195.61,195.72,195.45,195.63,251883,195.71,196.57
1750196700,195.63,195.73,195.44,195.71,387395,195.72,196.52
1750197000,195.7,195.86,195.47,195.79,606126,195.72,196.47
1750197300,195.8,195.83,195.48,195.64,1283386,195.72,196.42
1750260600,195.92,196.14,195.07,195.23,1185192,195.69,196.37
1750260900,195.21,195.67,195.17,195.54,443172,195.66,196.32
1750261200,195.52,195.71,195.31,195.49,477930,195.66,196.27
1750261500,195.47,196.12,195.27,196.1,457822,195.68,196.24
1750261800,196.1,196.47,196.07,196.16,587038,195.7,196.2
